2015,Temp. (°F),,,Dew Point (°F),,,Humidity (%),,,Sea Level Press. (in),,,Visibility (mi),,,Wind (mph),,,Precip. (in),Events
Jan,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
1,29,14,-2,26,15,-6,92,81,64,30.38,30.26,30.21,10,7,0,13,5,-,0,Fog
2,1,-7,-15,-5,-13,-19,83,73,54,30.56,30.49,30.39,10,10,10,12,3,-,0,
3,-11,-15,-20,-17,-23,-26,79,70,51,30.64,30.61,30.53,10,10,9,5,1,-,0,
4,-17,-21,-26,-26,-29,-32,73,67,54,30.6,30.52,30.43,10,9,6,0,0,-,0,Fog
5,-22,-26,-30,-32,-35,-37,69,63,44,30.46,30.41,30.35,10,10,7,4,0,-,0,"Fog , Snow"
6,-21,-25,-30,-31,-34,-37,70,64,44,30.54,30.47,30.39,10,10,10,5,0,-,0,
7,-13,-19,-26,-21,-28,-34,74,65,44,30.54,30.5,30.38,10,10,10,7,1,-,0,
8,17,0,-17,12,-4,-21,80,71,53,30.37,30.13,29.91,10,10,10,5,2,-,T,Rain
9,22,16,10,17,12,6,85,79,71,30,29.93,29.89,10,10,10,4,0,-,T,
10,23,19,15,17,14,10,81,75,64,30.08,30.06,30.01,10,10,10,6,1,-,T,
11,25,23,20,20,18,15,88,82,73,30.06,30.03,29.99,10,9,3,4,1,-,T,Snow
12,25,15,5,21,17,0,95,83,73,30.01,29.89,29.71,10,10,7,9,1,-,T,"Fog , Snow"
13,28,17,5,21,14,0,85,79,70,29.73,29.63,29.56,10,10,10,9,7,-,T,Snow
14,25,14,3,18,10,-1,87,80,71,29.76,29.57,29.24,10,10,10,8,3,-,0,
15,31,23,15,21,17,13,85,79,67,29.21,28.96,28.8,10,10,10,8,3,-,0,
16,25,16,6,18,10,4,84,79,67,29.14,29.03,28.86,10,10,10,7,4,-,0,
17,16,6,-4,10,-1,-9,88,78,70,29.4,29.23,29.15,10,10,10,6,1,-,0,
18,7,0,-7,1,-7,-12,84,74,55,29.84,29.64,29.42,10,10,7,0,0,-,T,Snow
