State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change
2,90,34,64101,1,64.84569,-147.727413,WGS84,Barometric pressure,1/1/2016,0:00,1/1/2016,9:00,738,Millibars,0.7,,,Non-FRM,14,INSTRUMENTAL - BAROMETRIC SENSOR,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,64101,1,64.84569,-147.727413,WGS84,Barometric pressure,1/1/2016,1:00,1/1/2016,10:00,739,Millibars,0.7,,,Non-FRM,14,INSTRUMENTAL - BAROMETRIC SENSOR,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,64101,1,64.84569,-147.727413,WGS84,Barometric pressure,1/1/2016,2:00,1/1/2016,11:00,739,Millibars,0.7,,,Non-FRM,14,INSTRUMENTAL - BAROMETRIC SENSOR,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,64101,1,64.84569,-147.727413,WGS84,Barometric pressure,1/1/2016,3:00,1/1/2016,12:00,740,Millibars,0.7,,,Non-FRM,14,INSTRUMENTAL - BAROMETRIC SENSOR,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,64101,1,64.84569,-147.727413,WGS84,Barometric pressure,1/1/2016,4:00,1/1/2016,13:00,741,Millibars,0.7,,,Non-FRM,14,INSTRUMENTAL - BAROMETRIC SENSOR,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,64101,1,64.84569,-147.727413,WGS84,Barometric pressure,1/1/2016,5:00,1/1/2016,14:00,742,Millibars,0.7,,,Non-FRM,14,INSTRUMENTAL - BAROMETRIC SENSOR,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,64101,1,64.84569,-147.727413,WGS84,Barometric pressure,1/1/2016,6:00,1/1/2016,15:00,742,Millibars,0.7,,,Non-FRM,14,INSTRUMENTAL - BAROMETRIC SENSOR,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,64101,1,64.84569,-147.727413,WGS84,Barometric pressure,1/1/2016,7:00,1/1/2016,16:00,743,Millibars,0.7,,,Non-FRM,14,INSTRUMENTAL - BAROMETRIC SENSOR,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,64101,1,64.84569,-147.727413,WGS84,Barometric pressure,1/1/2016,8:00,1/1/2016,17:00,743,Millibars,0.7,,,Non-FRM,14,INSTRUMENTAL - BAROMETRIC SENSOR,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,64101,1,64.84569,-147.727413,WGS84,Barometric pressure,1/1/2016,9:00,1/1/2016,18:00,743,Millibars,0.7,,,Non-FRM,14,INSTRUMENTAL - BAROMETRIC SENSOR,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,64101,1,64.84569,-147.727413,WGS84,Barometric pressure,1/1/2016,10:00,1/1/2016,19:00,743,Millibars,0.7,,,Non-FRM,14,INSTRUMENTAL - BAROMETRIC SENSOR,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,64101,1,64.84569,-147.727413,WGS84,Barometric pressure,1/1/2016,11:00,1/1/2016,20:00,743,Millibars,0.7,,,Non-FRM,14,INSTRUMENTAL - BAROMETRIC SENSOR,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,64101,1,64.84569,-147.727413,WGS84,Barometric pressure,1/1/2016,12:00,1/1/2016,21:00,743,Millibars,0.7,,,Non-FRM,14,INSTRUMENTAL - BAROMETRIC SENSOR,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,64101,1,64.84569,-147.727413,WGS84,Barometric pressure,1/1/2016,13:00,1/1/2016,22:00,742,Millibars,0.7,,,Non-FRM,14,INSTRUMENTAL - BAROMETRIC SENSOR,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,64101,1,64.84569,-147.727413,WGS84,Barometric pressure,1/1/2016,14:00,1/1/2016,23:00,741,Millibars,0.7,,,Non-FRM,14,INSTRUMENTAL - BAROMETRIC SENSOR,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,64101,1,64.84569,-147.727413,WGS84,Barometric pressure,1/1/2016,15:00,1/2/2016,0:00,741,Millibars,0.7,,,Non-FRM,14,INSTRUMENTAL - BAROMETRIC SENSOR,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,64101,1,64.84569,-147.727413,WGS84,Barometric pressure,1/1/2016,16:00,1/2/2016,1:00,740,Millibars,0.7,,,Non-FRM,14,INSTRUMENTAL - BAROMETRIC SENSOR,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,64101,1,64.84569,-147.727413,WGS84,Barometric pressure,1/1/2016,17:00,1/2/2016,2:00,739,Millibars,0.7,,,Non-FRM,14,INSTRUMENTAL - BAROMETRIC SENSOR,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,64101,1,64.84569,-147.727413,WGS84,Barometric pressure,1/1/2016,18:00,1/2/2016,3:00,737,Millibars,0.7,,,Non-FRM,14,INSTRUMENTAL - BAROMETRIC SENSOR,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,64101,1,64.84569,-147.727413,WGS84,Barometric pressure,1/1/2016,19:00,1/2/2016,4:00,736,Millibars,0.7,,,Non-FRM,14,INSTRUMENTAL - BAROMETRIC SENSOR,Alaska,Fairbanks North Star ,6/21/2016
2,90,34,64101,1,64.84569,-147.727413,WGS84,Barometric pressure,1/1/2016,20:00,1/2/2016,5:00,735,Millibars,0.7,,,Non-FRM,14,INSTRUMENTAL - BAROMETRIC SENSOR,Alaska,Fairbanks North Star ,6/21/2016
