site,date,start_hour,value,variable,units,quality,prelim,name 
2849,2015-01-01,0,0.2853,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,1,0.2058,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,2,0.1953,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,3,0.2122,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,5,0.2065,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,6,0.2040,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,7,0.2293,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,8,0.2240,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,9,0.2713,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,10,0.2907,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,11,0.2337,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,12,0.2575,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,13,0.2323,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,14,0.2267,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,15,0.2283,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,16,0.2803,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,17,0.2783,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,18,0.2734,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,19,0.3117,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,20,0.3033,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,21,0.2592,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
