site,date,start_hour,value,variable,units,quality,prelim,name 
2849,2015-01-01,0,0.0073,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,1,0.0041,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,2,0.0033,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,3,0.0048,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,5,0.0038,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,6,0.0049,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,7,0.0064,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,8,0.0070,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,9,0.0105,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,10,0.0136,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,11,0.0083,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,12,0.0085,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,13,0.0062,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,14,0.0052,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,15,0.0053,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,16,0.0080,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,17,0.0065,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,18,0.0070,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,19,0.0077,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,20,0.0070,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,21,0.0046,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,22,0.0039,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,23,0.0029,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
3774,2015-01-01,0,0.1189,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,1,0.1137,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,2,0.1186,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,3,0.1166,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,5,0.0812,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,6,0.0819,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,7,0.0789,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,8,0.0503,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,9,0.0369,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,10,0.0182,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,11,0.0101,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,12,0.0064,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,13,0.0063,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,14,0.0062,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,15,0.0050,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,16,0.0062,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,17,0.0132,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,18,0.0173,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,19,0.0287,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,20,0.0702,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,21,0.1079,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,22,0.1142,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,23,0.0943,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
2899,2015-01-01,0,0.0701,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,1,0.0812,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,2,0.0761,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,5,0.0454,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,6,0.0289,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,7,0.0228,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,8,0.0191,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,9,0.0159,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,10,0.0183,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,11,0.0144,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,12,0.0114,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,13,0.0099,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,14,0.0108,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,15,0.0120,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,16,0.0163,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,17,0.0180,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,18,0.0281,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,19,0.0634,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,20,0.0698,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,21,0.0863,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,22,0.0867,NOX,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2849,2015-01-02,0,0.0056,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,1,0.0028,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,2,0.0035,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,3,0.0052,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,5,0.0045,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,6,0.0041,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
