site,date,start_hour,value,variable,units,quality,prelim,name 
2849,2015-01-01,0,0.0265,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,1,0.0277,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,2,0.0289,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,3,0.0254,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,5,0.0244,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,6,0.0240,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,7,0.0243,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,8,0.0251,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,9,0.0268,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,10,0.0279,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,11,0.0345,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,12,0.0362,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,13,0.0392,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,14,0.0409,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,15,0.0415,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,16,0.0370,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,17,0.0330,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,18,0.0317,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,19,0.0303,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,20,0.0306,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,21,0.0328,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,22,0.0319,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-01,23,0.0335,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
3774,2015-01-01,0,0.0085,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,1,0.0071,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,2,0.0086,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,3,0.0065,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,5,0.0022,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,6,0.0019,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,7,0.0012,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,8,0.0040,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,9,0.0109,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,10,0.0213,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,11,0.0290,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,12,0.0338,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,13,0.0364,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,14,0.0380,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,15,0.0401,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,16,0.0389,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,17,0.0309,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,18,0.0267,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,19,0.0114,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,20,0.0015,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,21,0.0010,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,22,0.0014,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-01,23,0.0013,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
2899,2015-01-01,0,0.0071,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,1,0.0071,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,2,0.0068,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,5,0.0069,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,6,0.0099,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,7,0.0171,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,8,0.0245,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,9,0.0294,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-01,10,0.0326,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
