site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name 
3466,2016-01-01,0,0.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,RAWS,A10,0,Claremont 
3466,2016-01-01,1,0.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,RAWS,A10,0,Claremont 
3466,2016-01-01,2,0.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,RAWS,A10,0,Claremont 
3466,2016-01-01,3,0.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,RAWS,A10,0,Claremont 
3466,2016-01-01,4,0.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,RAWS,A10,0,Claremont 
3466,2016-01-01,5,0.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,RAWS,A10,0,Claremont 
3466,2016-01-01,6,0.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,RAWS,A10,0,Claremont 
3466,2016-01-01,7,0.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,RAWS,A10,0,Claremont 
3466,2016-01-01,8,16.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,RAWS,A10,0,Claremont 
3466,2016-01-01,9,235.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,RAWS,A10,0,Claremont 
3466,2016-01-01,10,396.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,RAWS,A10,0,Claremont 
3466,2016-01-01,11,505.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,RAWS,A10,0,Claremont 
3466,2016-01-01,12,541.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,RAWS,A10,0,Claremont 
3466,2016-01-01,13,566.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,RAWS,A10,0,Claremont 
3466,2016-01-01,14,536.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,RAWS,A10,0,Claremont 
3466,2016-01-01,15,401.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,RAWS,A10,0,Claremont 
3466,2016-01-01,16,216.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,RAWS,A10,0,Claremont 
3466,2016-01-01,17,44.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,RAWS,A10,0,Claremont 
3466,2016-01-01,18,0.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,RAWS,A10,0,Claremont 
3466,2016-01-01,19,0.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,RAWS,A10,0,Claremont 
3466,2016-01-01,20,0.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,RAWS,A10,0,Claremont 
3466,2016-01-01,21,0.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,RAWS,A10,0,Claremont 
3466,2016-01-01,22,0.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,RAWS,A10,0,Claremont 
3466,2016-01-01,23,0.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,RAWS,A10,0,Claremont 
2899,2016-01-01,0,0.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,AIRS,A60,0,Los Angeles-North Main Street 
2899,2016-01-01,1,0.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,AIRS,A60,0,Los Angeles-North Main Street 
2899,2016-01-01,2,0.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,AIRS,A60,0,Los Angeles-North Main Street 
2899,2016-01-01,3,0.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,AIRS,A60,0,Los Angeles-North Main Street 
2899,2016-01-01,4,0.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,AIRS,A60,0,Los Angeles-North Main Street 
2899,2016-01-01,5,0.00,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,AIRS,A60,0,Los Angeles-North Main Street 
2899,2016-01-01,6,0.02,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,AIRS,A60,0,Los Angeles-North Main Street 
2899,2016-01-01,7,15.68,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,AIRS,A60,0,Los Angeles-North Main Street 
2899,2016-01-01,8,210.82,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,AIRS,A60,0,Los Angeles-North Main Street 
2899,2016-01-01,9,389.65,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,AIRS,A60,0,Los Angeles-North Main Street 
2899,2016-01-01,10,510.33,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,AIRS,A60,0,Los Angeles-North Main Street 
2899,2016-01-01,11,569.70,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,AIRS,A60,0,Los Angeles-North Main Street 
2899,2016-01-01,12,562.78,SORAD,Watts/Meter Squared ( W/m<sup>2</sup> ),0,,AIRS,A60,0,Los Angeles-North Main Street 
