site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name 
2849,2014-01-01,0, 031/01.3,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-01,1, 028/01.3,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-01,2, 031/00.9,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-01,3, 030/00.9,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-01,4, 028/01.3,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-01,5, 029/01.3,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-01,6, 026/01.3,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-01,7, 028/00.9,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-01,8,CALM,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-01,9,CALM,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-01,10, 213/00.9,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-01,11, 231/00.9,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-01,12, 228/01.3,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-01,13, 236/00.9,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-01,14, 225/01.3,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-01,15, 223/01.3,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-01,16,CALM,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-01,17, 025/01.3,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-01,18, 025/01.3,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-01,19, 031/01.3,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-01,20, 047/01.3,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-01,21, 042/00.9,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-01,22, 041/00.9,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-01,23, 036/00.9,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
5816,2014-01-01,11, __/00.6,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,CIMIS,H,-99,Long Beach #2 
5816,2014-01-01,12, __/00.9,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,CIMIS,H,-99,Long Beach #2 
5816,2014-01-01,13, __/01.5,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,CIMIS,H,-99,Long Beach #2 
5816,2014-01-01,14, __/02.0,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,CIMIS,H,-99,Long Beach #2 
5816,2014-01-01,15, __/02.4,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,CIMIS,H,-99,Long Beach #2 
5816,2014-01-01,16, __/01.7,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,CIMIS,H,-99,Long Beach #2 
5816,2014-01-01,17, __/00.7,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,CIMIS,H,-99,Long Beach #2 
5816,2014-01-01,18, __/00.5,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,CIMIS,H,-99,Long Beach #2 
5816,2014-01-01,19, __/00.5,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,CIMIS,H,-99,Long Beach #2 
5816,2014-01-01,20, __/00.5,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,CIMIS,H,-99,Long Beach #2 
5816,2014-01-01,21, __/00.5,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,CIMIS,H,-99,Long Beach #2 
5816,2014-01-01,22, __/00.5,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,CIMIS,H,-99,Long Beach #2 
5816,2014-01-01,23, __/00.5,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,CIMIS,H,-99,Long Beach #2 
2899,2014-01-01,8, 047/01.8,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Los Angeles-North Main Street 
2899,2014-01-01,9, 043/01.8,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Los Angeles-North Main Street 
2849,2014-01-02,0, 030/01.3,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-02,1, 041/00.9,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-02,2, 031/01.3,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-02,3, 033/01.3,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-02,4, 033/01.3,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-02,5, 034/01.3,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-02,6, 033/01.3,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-02,7, 048/00.9,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-02,8,CALM,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-02,9,CALM,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-02,10, 210/00.9,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-02,11, 230/00.9,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-02,12,CALM,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-02,13, 234/00.9,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-02,14, 248/00.9,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-02,15, 235/01.3,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-02,17, 036/01.3,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-02,18, 031/01.3,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-02,19,CALM,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-02,20, 043/00.9,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
2849,2014-01-02,21, 052/00.9,WINSPD_wd/ws,Meters/Second ( m/s ),0,y,AIRS,H,-99,Glendora-Laurel 
